Date,Price,Open,High,Low,Vol.,Change %
04/11/2023,"80,300.00","80,200.00","80,500.00","80,100.00",534.00K,0.00%
04/10/2023,"80,300.00","81,000.00","81,000.00","80,100.00",769.80K,-0.25%
04/07/2023,"80,500.00","80,200.00","80,700.00","80,000.00",359.80K,0.25%
04/06/2023,"80,300.00","80,700.00","81,500.00","80,300.00",612.90K,-0.37%
04/05/2023,"80,600.00","80,500.00","80,600.00","79,700.00",422.00K,0.12%
04/04/2023,"80,500.00","80,900.00","81,000.00","80,000.00",584.60K,-0.49%
04/03/2023,"80,900.00","79,400.00","80,900.00","79,100.00",1.17M,2.28%
03/31/2023,"79,100.00","79,100.00","79,500.00","79,000.00",671.60K,0.00%
03/30/2023,"79,100.00","79,000.00","79,300.00","78,800.00",408.40K,0.13%
03/29/2023,"79,000.00","79,200.00","79,300.00","78,600.00",404.50K,-0.25%
03/28/2023,"79,200.00","79,200.00","79,200.00","77,500.00",1.00M,0.13%
03/27/2023,"79,100.00","78,900.00","79,200.00","78,500.00",767.20K,0.64%
03/24/2023,"78,600.00","78,300.00","78,800.00","78,000.00",366.70K,0.77%
03/23/2023,"78,000.00","78,400.00","78,500.00","77,600.00",356.60K,-0.64%
03/22/2023,"78,500.00","78,200.00","78,600.00","77,600.00",610.40K,0.51%
03/21/2023,"78,100.00","78,600.00","78,700.00","77,100.00",536.20K,0.64%
03/20/2023,"77,600.00","79,100.00","79,300.00","77,600.00",769.80K,-1.77%
03/17/2023,"79,000.00","79,600.00","80,000.00","78,600.00",429.40K,-0.25%
03/16/2023,"79,200.00","80,000.00","80,000.00","78,400.00",850.00K,-1.61%
03/15/2023,"80,500.00","79,100.00","80,500.00","79,100.00",691.80K,2.29%
03/14/2023,"78,700.00","79,000.00","79,100.00","78,500.00",427.40K,-0.25%
03/13/2023,"78,900.00","78,100.00","79,400.00","78,100.00",886.50K,-0.75%
03/10/2023,"79,500.00","80,200.00","80,400.00","79,000.00",640.90K,-1.36%
03/09/2023,"80,600.00","79,500.00","80,700.00","79,200.00",640.30K,1.38%
03/08/2023,"79,500.00","78,500.00","79,500.00","78,500.00",510.60K,0.89%
03/07/2023,"78,800.00","79,100.00","79,900.00","78,800.00",792.00K,0.77%
03/06/2023,"78,200.00","78,100.00","79,800.00","78,100.00",817.20K,-0.38%
03/03/2023,"78,500.00","79,300.00","80,000.00","78,500.00",740.80K,-1.88%
03/02/2023,"80,000.00","80,000.00","80,500.00","79,800.00",430.80K,-0.62%
03/01/2023,"80,500.00","79,500.00","80,500.00","78,700.00",1.38M,0.00%
